Review,True Label,Naive Bayes Prediction,Logistic Regression Prediction,DistilBERT Prediction,Error Pattern,Error Category,Possible Reason
"I grew up with the Abbott and Costello movies, A. because my dad grew up with them and both our last names are abbott so we owe the deo a bit of respect, I didnt realize the flack this movie and others of theres gets. It was a really clasic due, it was funny cause abbott and costello were always the same characters, but it was sooo funny, now what i like about jack and the beanstalk is that even though the love story is totally boring and that one song the prince sings, omg , awefull, but i like the angle they took on the love, story, the couple has to get married cause one kingdom is running out of money, they meet in the jail cell and fall in love becaue they both pretend not to be royal and they end up being the couple, so happy ending, i dont think that was the orginal version, if it was they should have cut it out of this movie, but i think it was orginal and i love it. but watching it sucks, lol, also when the movie really kicks in with the giant + abbott and costello it is sooooo funny. when the giant is beating jack into the door and jack is screaming ""OPEN THE DOOR, OPEN THE DOOR"" that stuff is really funny. And that once joke where jack starts screaming prince, prince and all those dogs jump him. kinda cheezy but really orginal. i wish they would have al least tried to remaster it, though i got that africa screams\jack and the beanstalk, and i dont mind the quality cause when i had it on tape it was bad quality also so whatever i guess. the begining is mildly funny the middle is really really funny, and the end is not funny in the least, but i am 19 years old and when a movie made in 52 makes me laugh this hard, it rocks, this movie is really funny. i love their style. also the chapters suck. also the part where jack is climbing the beanstalk and they are all singing a song about what a dipstick jack is and that he will be killed, thats pretty funny",1,0,1,1,"Naive Bayes wrong, stronger models correct",,
"Jeff Powers (Lou Diamond Phillips, ""Young Guns 1&2""), a cop with a history of roughing up criminals, is recruited into an elite clandestine LAPD division. This doesn't sit well with Jeff's newspaper reporter girlfriend, Kelly (Chelsea Field) who's looking for a story on the squad. Soon enough Jeff's conscience gets the better of him which puts him at odds with Dan Vaughn (Scott Glenn, ""the Hunt for Red October"" & ""Backdraft""), the leader of the unit.<br /><br />This is a fairly routine, dare I say mundane, cop-action/drama that holds no surprises thanks to a cookie-cutter plot that's content to go strictly from point A to point B. The acting is all right for what the actors were given to work with however that's no real reason to watch the film. Kinda sad seeing as the six previous Mark L. Lester directed films right before this one (from Class of 1984 to Showdown in Little Tokyo) were all highly entertaining vehicles. <br /><br />Eye Candy: Chelsea Field gets briefly topless<br /><br />My Grade: D+",0,1,0,0,"Naive Bayes wrong, stronger models correct",,
"Paul Muni and Bette Davis overact monstrously while lacklustre studio hack Archie Mayo seems distracted and oblivious in this racially provocative film that derives its ""bittersweet ending"" by condoning segregationist attitudes. Heavy handed and poorly constructed the film collapses under its own weight within the first fifteen minutes with an out of control courtroom scene that it never recovers from as Mr. Muni begins to chew up scenery by the yard hollering and howling away in an almost incoherent fashion.<br /><br />Johnny Ramirez is a Mexican American from the other side of the tracks who through determination and grit attains a law degree from a store front night school. In his first big case involving an auto accident he displays only ineptitude and is quickly made to look the fool by his well heeled opponents and an impatient judge who recommends he be disbarred. Devastated by the setback an angry Johnny takes on a job at a gambling joint where he is befriended by the owner Charlie Roark (Eugene Palette) who likes his style. The owner cuts him in on the place but problems arise with Mrs. Roark (Davis) who also wants a piece of Johnny. She kills Charlie, implicates Johnny and slowly goes mad before he is acquitted and free to be with a high society Wasp who coldly explains to him that they are from ""different tribes, savage"" and it will never work. When she flees to escape his rage she is run over and killed by a car. Ramirez sells the casino and moves back to his poor neighborhood rationalizing that its best to stay with your own.<br /><br />In addition to this appalling denouement Bordertown has a series of bad performances to compliment the overall ugliness of the story. Unfair as his plight might be, Muni's Ramirez is so abrasive and arrogant it becomes hard to show sympathy for such a bull headed blunderer. Davis is no better as the less than loyal wife matching the same adolescent emotions of Muni. Her Lady Macbeth mad scenes give no indication that she was about to become the best film actress of her era. Margaret Lindsay as Muni's American Dream is cold, remote and flat.<br /><br />Bad as Bordertown is (and it is very) it remains an interesting indicator of the times and acceptable attitudes. The rest is just a mishmash of bad acting and uninspired direction.",0,1,0,0,"Naive Bayes wrong, stronger models correct",,
"Leatherheads is an apt title, however a leather strap would be more useful to self-flagellate oneself after purchasing a ticket to watch this noxious attempt at entertainment. Clooney's attempt at self deprecating humor comes across with a quiet thud as his demeanor implies that he is anything but. Perhaps with another actor playing the Clooney role, the movie might be marginally palatable. Sorry George, I doubt there will be any Oscar nods this time. George Clooney is definitely a fish out of water when it comes to comedy (unless you are referencing to his politics). Anyway, only the most ardent of Clooney fans will enjoy watching Leatherheads, everyone else will long for the days of the silent picture.",0,1,0,0,"Naive Bayes wrong, stronger models correct",,
"I really can't see why people seem to dislike this film. I found it very entertaining (of course the fact that it stars the gorgeous Laura Fraser is a bonus!) When I first heard about it, I thought it would be along the lines of a role-reversed ""Weird Science"" and, to an extent, this is true, however there is a twist which I really didn't see coming. Having seen the trailer on the DVD (which I hadn't seen before watching the film) I saw that the ""twist"" is actually shown in the trailer! Very strange.<br /><br />As the film progresses the ""Weird Science"" comparison fits less and less, and I think this is the better of the two films. Certainly there are some scenes which don't work wonderfully, but these are made up for by the enthusiasm of the young cast.<br /><br />In summary, I'd suggest that this is a fine example of a Sci-fi chick flick, and I don't think I've seen many of them!",1,0,1,1,"Naive Bayes wrong, stronger models correct",,
"Very strange screenplay by Cameron Crowe (following on the heels of his ""Fast Times at Ridgemont High"") has little inspiration and flails away at dumb gags. At least ""Fast Times"" had a fair share of satire and sensitivity behind its slapstick (courtesy of a good director, Amy Heckerling, and Crowe's undeniable penchant for capturing letter-perfect teen-speak); here, Chris Penn (Sean's brother, natch) is the goof-off who makes life hell for straight arrow Eric Stoltz, and the filmmakers seem to think he's hilarious. Jenny Wright has some good moments as a mall-worker, but Illan Mitchell-Smith is lost in a head-scratching subplot about a teen who seems to be infatuated with a shell-shocked ex-soldier. Queasy, confused nonsense given a shiny sheen and a soundtrack full of pop-rock tunes, but characters one would hope to avoid. Supporting players Lea Thompson, Rick Moranis, Lee Ving, and Sherilyn Fenn are wasted in stupid roles. * from ****",0,1,0,0,"Naive Bayes wrong, stronger models correct",,
"OK, Anatomie is not a reinvention of the Horrormovie-Genre, but nevertheless it is well done. Good actors (Potente and Führmann at first) and some nice ideas made me happy. Maybe i would have been not so positive if this wasn´t a german movie, but who cares. It is good to see familiar faces in a good, thrilling story, with some gore and some good jokes in it. All of you complaining about the dubbing: i didn´t see a dubbed version (of course) but i believe that it is not easy for you to watch dubbed movies. We (Germans) are used to watch movies like that, so it´s not a big problem. But try to watch in german with subtitles. The actors are really good!",1,0,1,1,"Naive Bayes wrong, stronger models correct",,
"Dear reader, Watch out! This movie is not really a movie, though its creators have the impertinence to call it so. If you have not been warned about its content, here it goes: the film is simply a sequence of imagines which flow continually and are trying to transmit a certain feeling, concept. They could be called, therefore, symbols. The images are accompanied by a soundtrack, it's purpose being to create atmosphere as well. However, the images the director has chosen can only transmit feelings to an American audience, because they are, in an overwhelming number, American icons. Though the film is intended to express the idea of ""civilized warfare"", it fails to do so not only because of the general chaos, but also because it is far too long and tiresome, and I strongly felt that a lot of the scenes have not to do with ""war"", in whichever conception. To conclude, I was greatly disappointed by a documentary which is not a documentary, a movie which is not a movie, a ""something"" whose only strong point is the extraordinary use of technology in image processing.",0,1,0,0,"Naive Bayes wrong, stronger models correct",,
"Based on a Edgar Rice Burroughs novel, AT THE EARTH'S CORE provides little more than means to escape and give your brain a rest. A Victorian scientist Dr. Abner Perry(Peter Cushing)invents a giant burrowing machine, which he and his American partner(Doug McClure)use to corkscrew their way deep into the earth to explore what mysteries it may hold. They soon discover a lost world of subhuman creatures having conflict with prehistoric monsters.<br /><br />Cushing comes across as an absent minded professor to the point of being annoying. Instead of being a bold adventurer, he comes across effeminate. On the other hand McClure overacted enough to make himself also laughable. Caroline Munro plays the pretty Princess Dia that refuses to leave her world near the center of the earth. Also in the cast are: Godfrey James, Cy Grant and Michael Crane.",0,1,0,0,"Naive Bayes wrong, stronger models correct",,
"Okay, I'll admit right up front that the Inki cartoons made by Loony Tunes are pretty offensive and I can understand why Warner Brothers has pulled them off the market. Seen today, the huge-lipped and very stereotypical Inki is not politically correct. However, the cartoons were well-made and it's a shame they aren't released with some sort of explanatory prologue (such as the one with Leonard Maltin they included with some recent politically incorrect Donald Duck cartoons that were recently released on DVD). In other words, throwing out the cartoons completely is to forget our history. Plus, Inki, Little Black Sambo and other racist cartoons are out there--especially on the internet.<br /><br />This Inki cartoon has our little hero out hunting. At first, he's chasing a cute little caterpillar but later accidentally happens upon a lion--a lion that is more than happy to make Inki his dinner. However, through all this, a weird Minah appears again and again...and eventually you'll see why this bird is so important to the story.<br /><br />Cute, well made and clever. I like the Inki cartoons. Plus, I take pleasure in showing them to extremely thin-skinned liberal friends just to watch them have apoplectic fits or even heart attacks. Loads of fun, folks!",1,0,1,1,"Naive Bayes wrong, stronger models correct",,
"I don't know what some people were thinking when they said this movie was bad. It Was Great. Classic Bruce Campbell, yes it was low budget and the special effect showed this but that is not what you see a Bruce movie for you watch it for Bruce. Also Ted Rami was excellent. I found this movie hilarious and entertaining I still crack up when I recall Bruce on that pink moped. Now I will admit this movie is not for everyone if you don't like B movies you probably won't like this one if you crave big budget effects and actors steer clear. But if you like slap stick and off the wall sci-fi plots this movie is for you.<br /><br />Hail The King Baby!",1,0,1,1,"Naive Bayes wrong, stronger models correct",,
"When I first heard that this movie was going to be made, I was very excited to see it. The ideas to make a movie of this caliber, as good as it was, must have been very difficult. I wasn't really sure if anyone could encompass all of the Pope's many amazing qualities in a movie, but the movie did his memory justice. In my opinion the most important task was to reveal to the people who the Pope started out as. To his days in Poland, all the way to his last days in the Vatican, this movie followed every aspect of his life. Thomas Kretschmann, the man who played the Pope in his adult life and on, did a very good job at getting the emotion across. Overall this movie was educational, but also very entertaining.",1,0,1,1,"Naive Bayes wrong, stronger models correct",,
"any movie that has a line of dialogue that goes something like this....""Judy's getting ready for her date, Butthole!"" has to be good! I found this on DVD unrated, unedited and was pleasantly surprised, a lot of hard work was put into making this movie. I actually enjoyed this more that a lot of 80s movies I have seen. Great addition to my movie collection.<br /><br />The buildup was great, sets up the scares for the rest of the movie. Loved the GORE and the T&A. I never thought eyeballs being gouged out would look like popping boils, the color of the eye splatter was gross! I keep thinking that ""Rog"" looked like Tiger Woods but more black, anyone agree?",1,0,1,1,"Naive Bayes wrong, stronger models correct",,
"I have seen a number of horror movies to know that this one was one of kind. Full Moon Pictures has a knack of giving this fan an entertaining night. For all the cheesiness of most vampire films, This Is the ONE that has not only a good premise but has two good sequels. A Must See.",1,0,1,1,"Naive Bayes wrong, stronger models correct",,
"I originally posted the first user comment on this movie,and claimed it was crap and it didnt make sense.I DIDNT MAKE SENSE. Campfire tales is a thoroughly enjoying film (now that im 2 years older and watched it last night).The actors were famous but not TOO famous. The acting itself was more than acceptable,it was rather good.I will rate the movie per segment of films.<br /><br />1)The black and white scene (A.K.A-""The Hook"") This one was rather pointless,it looked good,but didnt hold much grip at all,the only disappointing one,i dont think it was even included as a segment.Here is the scare-o-meter.<br /><br />------(Poor)<br /><br />2)The R.V Story (honeymooners stuck in woods) Possibly the most entertaining of all tales,the acting was good in this one too,dissapointing bout the typical caravan sex scenes.Yet it was intruiging,you think ""WHo was knocking on that door"".It had suspense,and not too gory.Liked this one<br /><br />--------------------------(Very Good)<br /><br />3)Internet Chat Tale (Little Girl Meets Psycho) This was a smart addition,gore left at a minimal,frights left at EXTREME.Although dull at times,the last few minutes were most entertaining,dont get me wrong it was still fun to watch.Real creepy,and could happen to anybody,so watch who youre talking to.<br /><br />---------------------------(Very Good)<br /><br />4)Ghost Tale (Man kisses ghost)?? Not the best,it wasnt too atmospheric for a ghost tale.This one was strange,the aspects were rather good,playing music and the screaming,but everything was too real to be ghastly,although it was good,it was quiet bloody,and could have been better with that idea.<br /><br />-------------(Acceptable)<br /><br />5)The Ending (the 4 lost teenagers) These are the 2 attractive gals and guys telling the tales through-out the film.The best thing about the film is definantley the ending,it set a great impression,the ending was totally un-expected.Watch it,it was so well done,the realism was spectacular.<br /><br />-----------------------------------(TOP NOTCH)<br /><br />6)THE FILM OVERALL Campfire tales was more than i used to take it for,i actually like it so much now im buying it on video,cause its a truly entertaining horror movie forget the trash you see these days,like many,im dissapointed that this didnt really go nowhere,it was straight to video,to me it was better than all the hype ""horror"" you see these days. Overall for Campfire Tales<br /><br />----------------------------- (Very Good)<br /><br />8 out of 10",1,0,1,1,"Naive Bayes wrong, stronger models correct",,
"I never heard of this film when it first came out. It must have sunk immediately. :o) I saw it on cable while sick in hospital so I hardly had enough energy to watch it, let alone turn the channel. Better choice than the Style Channel. ;0(. Filmed on location, this travelogue should have been on the Travel Channel. The plot is recycled from ship board farces of the thirties and forties. The cast seems to have been recycled from the fifties. Donald O'Connor, star of musicals and Edward Mulhare as a card shark. As to the main cast, Walter Matthau is still playing the same part as he did in Guys and Dolls or was it the one about the orphan girl? Wiseacre irresponsible gambler and rounder. But it just doesn't take with a man of his age. As to Jack Lemmon, he plays his part so straight, he can hardly dip and glide when dancing. And as mentioned, Dyan Cannon is outstandingly attractive as another swindler sailing with her mother who thinks Walter is rich, while he thinks she is rich. Elaine Stritch plays Dyan's mother, another retread from the fifties. The most fun is the running feud between Brent Spiner as the domineering and snotty cruise director who immediately spots Walter as a poor dancer, and spends his time trying to get him dismissed so he will have to pay for his free passage. In the end, though he receives his comeuppances. Meanwhile Jack mopes about, meets an attractive woman, with mutual attraction, but their affair is broken up by Walter's lies that Jack is a doctor, when he was actually a retired department store buyer. But finally, the two men take to the sea in a rubber boat to intercept her seaplane and all is well. There does not seem to be any principal player under the age of fifty.",0,1,0,0,"Naive Bayes wrong, stronger models correct",,
"The plot in this movie is very thin, and there is not much acting. Val Kilmer--I don't know why he agreed to do this movie--plays a minor role as a gang leader. In short, the movie is tedious to watch.<br /><br />One guy, who sort of resembles an archeology/religion professor, is exploring a subterranean area of Moscow, that has some history connected to railway construction and the Bolshevik revolution. A church tragedy in that history makes the exploration ""spiritual"" and spirits of a malevolent intent haunt the underground ruins. A friend of the professor decides to find his friend in the underground and hires a couple of Russian guides. The entire movie is based on this plot and contains much repeated footage of the underground, and some camera effects; much like those seen in ""Day Watch"", ""Night Watch"", etc.",0,1,0,0,"Naive Bayes wrong, stronger models correct",,
"The films' producers are hoping that Cameron Diaz' name will help sell this picture. Unfortunately, nothing can save what has already been captured on the screen. Despite some beautifully shot European locations and some solid production design elements, the film fails mostly due to its awkward, unbelievable romance between Brewster and Eccleston. An unplesasant filmgoing experience.",0,1,0,0,"Naive Bayes wrong, stronger models correct",,
"Having enjoyed Koyaanisqatsi and Powaqatsi I was looking forward to this third part of the Qatsi trilogy and seeing what direction it had taken. Rarely has a film so spectacularly failed to live up to its predecessors and lost its way. Although it tries to represent ""civilised warfare"" in the form of sport, science, trade and other forms of competition, it lacks the global scope and even the coherently developed themes of its predecessors. War is chaos, but even wars have an aim in mind and this film had little structure and unclear goals.<br /><br />Naqoyqatsi is flawed by being a chaotic melange of images that does little to develop its theme. On the plus side, it wisely avoided using some of the iconic images of last century's wars.<br /><br />Naqoyqatsi is also so insular that several times I had to remind myself that I was not watching an advertisement promoting the American way of life. Perhaps this insularity reflects the ongoing ""War on Terror"". When representing ""sport as war"" the prominent team logos ensured that the USA was depicted as the winner. Hence it missed the opportunity to depict some of the many sports around the world and showing that humanity is united in its use of sport as a form of civilised warfare.<br /><br />Apart from newsreel, the footage seemed to have been shot on a budget in the confines of New York and there was little recognition of ""life as war"" in the rest of the world. The gallery of faces (waxworks) gave only a nod to the existence of important personages outside of the USA. The makers missed the point that globalisation does not mean Americanisation.<br /><br />The Philip Glass soundtrack sounded much like every other Philip Glass score I've heard (with the possible exception of Koyaanisqatsi) and at best can be described as ""inoffensive"" neither adding to, nor detracting from, the chaotic imagery.",0,1,1,0,"Traditional models wrong, DistilBERT correct",,
"For the first forty minutes or so, Luna is a real pleasure to watch. The characters and their situation are interesting and the photography and locations are beautiful to look at. Then Jill Clayburgh discovers her son Matthew Barry is using heroin and the movie starts to unravel and then becomes outright laughable in its sickness.<br /><br />Clayburgh asks him why and when he started using the drug and she nor the audience ever get a straight answer, which would be a bit helpful. He mentions not caring about anything but that's not right because we see clearly in the amazing early scenes that he has a good deal of interest in his mother's singing, baseball, sex, and apparently cared enough to turn down marijuana. This movie is for people who think junior gets into hard drugs because mom and dad were workaholics who missed his piano recital. I think such a dangerous and emotionally volatile drug like heroin was chosen as some sort of intellectual catalyst for the later scenes of incest. There's a lot of discussion about the mother's love for the son but it's really about Bernardo Bertolucci being pretentious. Luna would have been great as a quaint little family drama.<br /><br />How old was Matthew Barry in this movie? I was more concerned over the bizarre things he had to do as an actor for this film than for anything his character was going through. ** out of ****",0,1,1,0,"Traditional models wrong, DistilBERT correct",,
"a scarily real drama, there isn't another drama out there that has scared the crap out of me like this has, the characters are not your typical Islamic terrorist, you have a blonde haired, blue eyed guy who is as dumb as he looks, he is a converted Muslim. A well respected business man, who pretends to be Jewish and a Frenchman who has converted to Islam, but has clearly taken the word of the Koran to a whole new level. The hero of the plot is Darwyn, who is an undercover FBI agent who has infiltrated the terrorist cell, and has to do all sorts of god awful things to prevent himself from being detected. The first episode is a small taste of what's to follow. Although it is about Islamic terrorists the drama has a unique way of pointing out that not all Muslims are extremists, which is comforting to those concerned with racism, considering half the terrorist cell are Islam converts, it makes you think that maybe they are the ones to be afraid of. The most chilling drama I've ever seen. The reason its so chilling is cause you never know who your friends, your husband or your neighbours really are. Terrorists can be anyone, anywhere, anytime.",1,0,0,1,"Traditional models wrong, DistilBERT correct",,
"This documentary was neither professionally nor objectively made. The whole thing played out like a conspiracy theory by IBM to win the match in question just to make some money. Garry Kasparov has an ego problem. He was puffed up before the match and when he lost, he didn't like it. I remember playing chess against computers back in the 80s and it wasn't too difficult to win. As time went on, I started to lose and didn't like it. Today, I simply don't play against computers anymore because they're just too good. Not only that, the games are uninteresting and lack the appeal of human games, where both sides are more likely to err and open the game to exciting possibilities. This documentary keeps showing us images of The Turk which is an ancient chess playing automaton that was really controlled by a human being. From the start until the end we are lead to believe that IBM short of literally hid a human GM in the back of their cupboard-sized computer. I'm a computer scientist and take offense at the notion that just because Garry lost, IBM must have cheated. I know how computers play chess. It's not magic and it's no mystery. They can be trained, have huge amounts of chess knowledge and they most certainly see positions and possibilities in unprecedented detail compared to humans. It's really no surprise that Deep Blue won. Perhaps at the time it was. If it happened today, given the ever-increasing processing power of machines; people would hardly blink. If a machine couldn't at least draw with a GM today, people would think the program was weak.",0,1,1,0,"Traditional models wrong, DistilBERT correct",,
