Review,True Label,Naive Bayes Prediction,Logistic Regression Prediction,DistilBERT Prediction,Error Pattern
"Is this a bad movie?<br /><br />Of course, what were you expecting from a movie called ""BEACH BABES FROM BEYOND""?<br /><br />It is a ""BABES in BIKINI"" movie and has no pretensions of being otherwise. Given, this is not ""A ROOM WITH A VIEW"" or ""SCHINDLER'S LIST."" If you wanted a film like ""A Room With a View"" then you would not be looking at Beach Babes from Beyond. But if you are looking for a good Babes in Bikini movie with almost no plot, this is the one for you. This flick delivers on what it promises and then some. It is pure 100% adolescent fun.<br /><br />There were lots of BABES in and out of bikinis. The movie was quite funny and great to watch. These were some of the most beautiful women I have ever seen on home video.<br /><br />Every high school kid should watch at least one bad movie like this. This is actually one of the most memorable movies I have ever seen. So unashamedly, I say again...If you are going to watch only one ""Babes in Bikini"" movie, this is it.",1,0,1,1,"Naive Bayes wrong, stronger models correct"
"I`ve seen this movie twice, both times on Cinemax. The first time in it`s unrated version which is soft-core porn at it`s best and the second time in a trimmed down (cut all the sex and most of the nudity out) version which was entertaining in a typical beach movie sort of way. The unrated version has a tremendous sex scene with Nikki Fritz, a dude and a bottle of oil which is out of this world (no pun intended). Unfortunately, in the trimmed version that scene is almost completely chopped out, as are all the other sex scenes. Rated or unrated it is still fun to watch all the siblings of bigger stars (Stallone, Sheen, Travolta, etc;) trying to act. We also get appearances by B-queen Linnea Quigley and Burt Ward (Robin from the old Batman series).",1,0,1,1,"Naive Bayes wrong, stronger models correct"
"What can I say about this film that won't give you any preconceived notions when you see it? Very little. The plot has to do with the return from hospital of a teenage girl after she broke down. What follows after that is the movie. It is one of the creepiest most mind blowing films of the past several years. Everything about the film is just slightly off center and leaves you feeling ill at ease well after the film has ended. It is not a perfect film. The film has problems in its final half hour which make an already confusing story, even more confused.(If you've read any number of other comments here on IMDb and elsewhere you'll know that a great deal of time has been spent trying to unlock what actually is going on) I'm not sure what I actually think of this film beyond the fact that it scared me and disturbed me in ways that most well known horror films ever have. If you like horror, and don't mind not having everything clearly summed up I suggest you try this since it will more than likely make your skin crawl.",1,0,1,0,Only Logistic Regression correct
This was one of the few Norwegian movies I actually looked forward too see. It started of as a few commercials with a motley bunch at football matches. Then they made a movie out of it. The leads are not pros (and you can see that) but they still do a very good job and the movie all in all blew me away.<br /><br />Norway is known for making crappy movies (no offense)but I had a good feeling about this one. Even thou I'm not interested in football I wanted 2 see it. the story is a lot better than expected and the laughs just keep piling up. there are loads of cameos from Norwegian celebrities and players. the characters are well portrayed and you feel for them. IF You're EVER GONNA SEE A NORWEGIAN MOVIE. LET IT BE THIS ONE!!!!,1,0,0,1,"Traditional models wrong, DistilBERT correct"
"I must say I'm an avid horror movie fan, and currently I can't get enough of foreign horror. Since US horror really depends too much on gore.<br /><br />This movie is fantastic. This movie reminded me a lot of M. Night's SIXTH SENSE. The way the film was directed was great. The director took his time to set everything up. It took about a good 40 mins just to set the movie up into a horror movie. I thought the movie was just a drama. This movie just builds up and the pay off isn't too much.<br /><br />I've never done this before, but this is the main reason I liked the movie.... I actually screamed out loud because one scene just startled the hell out of me... which is kinda pathetic.... but for a film to do that, it's great.",1,0,0,1,"Traditional models wrong, DistilBERT correct"
"Every high praise word fell way short before the height of this movie. This movie is the true example of how a psychological horror movie should be.<br /><br />The plot seems to be a bit confusing at first viewing but it will definitely explain a bit about what's going on and you really want to view it for the second time. But after second viewing you will start to join the pieces together and then you will know how amazing a movie can be.<br /><br />A word of advice for slasher flick fans stay away from this movie. This is not your dumb ass teenage slasher movie, in which you just switch off your brain and sit in front of the screen just to see big b**bs and lots of blood.<br /><br />If you want to heighten the psychological horror factor of this movie then watch it all alone with a great home theater system that supports Dolby Digital or DTS 5.1ch, without any of your ill mannered friends that crack jokes on a really tense situation. And don't forget to switch the light off.<br /><br />My points on different aspects:-<br /><br />Direction = 9/10 Acting = 8/10 Atmosphere = 10/10 Sound Effect = 9/10<br /><br />Total = 9/10",1,0,1,1,"Naive Bayes wrong, stronger models correct"
"The recent history of Hollywood remakes of ghost/horror films from the East has been dismal. This film will inevitably suffer the same fate, so get a copy on e-bay or similar.<br /><br />It is well photographed and the sound is superb. Viewing on a good screen and with a good 5.1 or DTS enabled sound system is recommended. Obviously it is subtitled, so if that puts you off, then I wouldn't bother with this. Dubbing rarely works and simply would not do here.<br /><br />It is also genuinely frightening, with excellent performances from a cast who will be unfamiliar to Western audiences. I would particularly single out the stepmother character, who was utterly brilliant. The ending will have you wanting to watch it again, if you can cope. The plot is relentless, and offers no comforting moments of release along the way.<br /><br />If I do have a small criticism, there is perhaps a detectable influence in certain scenes from the Japanese version of The Ring. We have, however, accepted straight copies of other peoples' ideas for Western films for years, and so my point is a limited one which did not prevent me from giving it 10/10. I believe most fans of this genre will derive huge ""pleasure"" from this film which I for one hope goes down as a classic.",1,1,1,0,"Traditional models correct, DistilBERT wrong"
"Radio was a very good movie, and honestly, i never cry in movies. But it had me pretty close to tears. It really got to me when Radio's mom died and he just wouldn't get out of his room. I felt really sad about how, if you were mentally retarded, you wouldn't really be able to understand death. I really liked the movie, and It's a must see.",1,0,1,1,"Naive Bayes wrong, stronger models correct"
"Despite some really scenic locations in the orient and some sporadically energetic music by Franco Micalizzi, this film doesn't quite reach the level of Joe D'Amato's similar efforts while staying just about as trashy. The author of the original book ""Emmanuelle: The Joys of a Woman"", Emmanuelle Arsan, directed and had a smallish role in this film, which mostly pornographically showcases a very young Annie Belle as she gets in a variety of oddball sexual situations. Her boyfriend, played by ZOMBIE's Al Cliver actually approves of her sleeping around and even persuades her to continue her practices even after the two of them are married! Orso Maria Guerrini drops by as a professor who is oh so usually married simultaneously to two women, one of whom is played by Arsan herself. Despite beginning promisingly and having a few hilarious lines of dialog like ""can you see me with the naked eye?"" ... ""I can see you better naked!"", the film shambles along plotlessly up until the less-than-spectacular finale. Much like D'Amato's EMANUELLE AND THE LAST CANNIBALS, the main characters are all in search of some lost tribe, but don't get your hopes up, there's no violence at all in this film, and not much sex either for that matter. Just a lot of nudity and silly dialog. I couldn't help but find some appreciation for this little film, if only for the completely cornball logic the film goes by.",1,0,0,0,All models wrong
"Can a mentally challenged black youth be a catalyst to unite people in a South Carolina town? The answer appears to be that in spite of his handicap, James Kennedy, understood much more than what he was given credit for and went to become a fixture in the sports scene. Also, the film is saying how many of us overlook people with problems that can be helped if only we have the patience Coach Jones showed to the young man because of his own guilt in his heart.<br /><br />""Radio"", directed by Michael Tolllin, is a formula film inspired on a true story. Yet, the movie is not a complete failure because of the inspired performances the director was able to get from his wonderful cast.<br /><br />Coach Jones is instrumental in getting the young man, who is called Radio because his passion for collecting them, involved in sports, a passion he discovers in this retarded man who has had only hard knocks in his young life. Coming from a poor background, Radio, lives with his mother who is protective of him and questions the coach's intentions. Radio is seen by the school kids as a mascot, at first, then, his sunny disposition wins him the acceptance of everyone because he is a good person without an ounce of malice in his body.<br /><br />The film owes a lot to Ed Harris and Cuba Gooding Jr. who make a great pair as the coach and Radio. Mr. Harris, one of the best actors of our times is never boring in anything he graces with his presence. He gets the essence of the principled coach who sees the possibility to make amends for something that bothers him from his past. Cuba Gooding Jr. is also at his best portraying the mentally challenged young man.<br /><br />The supporting cast is excellent. S. Ephata Merkerson, one of the best actresses of her generation, does interesting work as the mother of Radio. Alfre Woodard, another good actress plays the high school principle with style. Debra Winger, only has a few scenes in the film.<br /><br />""Radio"", while being sentimental, will warm anyone's heart because it shows how we tend to see some people are in our society that we know nothing about and how quick we are to judge them. Michael Tollin puts a lot of ideas in the proper perspective for us.",1,1,1,0,"Traditional models correct, DistilBERT wrong"
"Corniness Warning. As many fellow IMDb users already know, I'm not a corny, cheesy person. If you don't want to read this kind of review, then go.<br /><br />To tell you the truth, you're hearing this from a man who laughed through Titanic and almost broke his parents' tape from continuously rewinding the propeller scene.<br /><br />---Spoilers---<br /><br />One day, I went off to the theatres with two friends to see Dickie Roberts: Former Child Star, last year in August. The boring trailers rolled on until one started off so calmly. It was for Radio. The moment I saw the trailer, I just had to see this movie on opening weekend. When that weekend rolled along, Scary Movie 3 was out too so many teenagers were there waiting in line that Friday night. It turns out the movie sold out and those teens were so desperate to see a movie, they went and also sold out Good Boy and Radio. I couldn't get a ticket and the following weeks, I was busy with more important things. About 5 months later, my friend rented Radio. He let me borrow it and I watched it in my room. I'll tell you this now, this is the ONLY movie I have ever seen that got me crying EVER. When Radio's mother died, it just came out automatically. The next day, I went off to Blockbuster and bought the DVD.<br /><br />Well enough of my stupid personal story, let me tell you about the movie.<br /><br />Cuba Gooding Jr. stars as a mentally challenged man nick-named Radio. Ed Harris co-stars and this movie is directed by Mike Tollin. Based on a true story, Radio is a teenager who has a life by spending most of his day alone. He goes around with a shopping cart picking up whatever he can and is always carrying a radio around. He's got his own collection. At the end of every day, he goes home to his mother. He never went to school until later in the film. One day, Radio passes by the local high school while the football team is practicing. A football flies over the fence and Radio picks it up and continues on. Ed Harris plays Mr. Jones, the football coach. They meet and this is the life of Radio.<br /><br />Throughout the whole movie, Radio and Coach Jones spend quality time together, both teaching each other things. It is beautiful to see how the movie goes to the highest joys, the lowest lows, and just seeing Radio live his life. You will laugh, cry, and live the life of Radio with him. This movie holds a special place in my heart along with Toy Story and others. This is a must-see for the whole family, by yourself, or if you're someone who just wants a great drama. Radio is one of the most beautiful movies I have ever seen. Radio will never be forgotten by me. Never.<br /><br />As Ed Harris' character said greatly near the end of the movie:<br /><br />""We're not teaching Radio, Radio is teaching us.""<br /><br />My Rating: 8/10<br /><br />Eliason A.",1,1,1,0,"Traditional models correct, DistilBERT wrong"
"Spoilers !!! To understand what really happened first you have to be a warrior, to stay alive in real war, to think off-line,analytically,critically and not linear. Otherwise you will come to false conclusions that Maj.Gray was dumb or unstable person. Truth is something completely different. He was firm hardened veteran and only way he could be killed by Capt. O'Malley is that he wants her to kill him. It was his way out. He choose it. He was not man who will retire. If you've never been on a first line you can't understand it. He intentionally prepare his own suicide. First he seduced Mary Jane, than intentionally acted as a dumb, than stageed argue - shutting incident before witnesses (to protect her later after she done what he wants her to do if it comes to trial), than gave her son a bullets (to assure he could load her gun later), came that night, loaded her gun, woke her up, put her gun in her hands, acted as he was attacking her, after shot first time he raised knife and cried ""One kill"" so she shot him again and before died he put knife off like he was trying to took him back again after first shot. He also gave her a message with his last cry. ""After first kill everything will change inside your mind and destroy your life, this is the the only way for me to die as a man, yet to be killed by somebody I love is my choice and my only prerogative, war and army is not what you thought so far, grow up finally and save your life till you can"". She left military life at the end. She did understand him. And he did not die in vain. The man who helped him to prepare all that and after to carry out the trial and the outcome of that trial was Col. Sam Doran with help of Lt. Tim Macy. Macy didn't know what is really going on and what will be the outcome but did what he was expected to do. He took photos of Mary Jane and Maj.Gray by order of Col. Sam Doran who gave that order because Maj.Gray asked him to do that. After she refused to leave army (what Col.Doran asked her to do) Col. Doran convinced prosecutor to charge her with a premeditated murder (he knew she cant be found quilty) instead of manslaughter (there was some possibility to be found quilty) with taken photos. Col.Doran also suppress argue-shutting incident to escalate to prevent prosecutor to have any doubt about premeditated murder charge but let it be revealed during the trial what greatly influenced the jury. I have no doubt about outcome of that trial. Why Col. Doran did that way? Because he will do anything Maj.Gray ask him to do. Why? Because he saved his life on a battlefield. Why Mary Jane choose to go to trial? Because she was a person who have integrity, a principles. And that is why Maj.Gray choose her. It has to be somebody deserving, somebody honourable. Keeping his secret about what really happened that night she also prove her honour.<br /><br />Miroslav",1,0,0,1,"Traditional models wrong, DistilBERT correct"
"I finally saw LAURE and I have to say that I equally enjoyed it and was dismayed by it. What's great about it is the atmosphere, the music, the location, the cinematography and the beautiful cast. The story is non-existent for sure but with these movies it doesn't really matter. The pace in languid and the settings are exotic. The film has a lot going for it. Unfortunately, it also has a few things going against it. The first thing is that the gorgeous Annie Belle and the handsome Al Cliver have no chemistry whatsoever. Because the two are playing a couple and are on screen for almost the entire length of the film the lack of chemistry between the two is a definite liability. According to IMDb, Al and Annie were a real couple when they filmed this movie. They sure kept their attraction to each other from showing on screen.<br /><br />The other problem with LAURE is that some sex scenes are just ineffective or even ridiculous. There's one sex scene that stands out as one of the silliest I've ever seen in any soft porn flick: our young blonde couple are picked-up by a helicopter pilot who happens to be a cross-dresser! The pilot flies over the city to pick up his girlfriend (!) and they have an orgy of sorts in the helicopter, in mid-air. And Al Cliver is filming all of this with his 16mm camera! I kid you not. Ridiculous. We later see that 16mm footage being edited on a moviola. While the footage rolls, Al and Annie start making out. This scene is actually good but the footage on the screen behind them was at times too much. Watching the footage of the cross-dresser getting it on with his bimbo while piloting the helicopter almost had me rolling on the floor laughing out loud. Is this supposed to be erotic or believable in any way? The last thing I want to see is a woman pleasuring a man in drag, certainly when the man in drag makes for such an ugly woman, while piloting a helicopter, no less. Al and Annie getting it on was cool as was the music during the entire scene. I just wish the footage on the editing screen wasn't so silly.<br /><br />Speaking of drag, another dull plot point in LAURE which really drags the movie to a crawl are all those moments with the great Orso Maria Guerrini and his two wives. A married threesome is an interesting idea but it hardly registers here as hot or even interesting. The two women are sorta dull and we rarely see the three having sex. In fact, Orso keeps his clothes on for almost the entire film, even when he's with Annie Belle. This is another minor complaint about LAURE: there's nudity but it's not as much as other films of the same era. It just needed more skin to punch it up.<br /><br />Except for those minor complaints and the drag queen moments, LAURE is actually very watchable. I love these kind of softcore films from the 1970s when the attention was set on mood and atmosphere, not the crude stuff we see today.<br /><br />p.s.: make sure to watch Emanuelle in Egypt, which stars Annie & Al but also another famous screen couple, Laura Gemser and Gabriele Tinti. The music in that movie is also great.",1,0,0,0,All models wrong
"This isn't among my favorite Hitchcock films, though I must admit it's still pretty good. Among the things I really liked were the presence of Jimmy Stewart (he always improves even the most mediocre material) and the incredibly scary looking assassin (who looks like a skeleton with just a thin layer of skin stretched over him). Although it cost the studio a lot of money, I didn't particularly care for Doris Day in the film--she seemed to weep a lot and belts out ""Que Sera"" like a fullback. Yes, I know that she was supposed to sing in that manner, but this forever made me hate this song. Sorry.<br /><br />The other complaint, though minor, I had about the movie was that it was a little ""too polished"" and ""Hollywood-esque"". The original version (also done by Hitchcock) just seemed a lot grittier and seedier--and this added to the scary ambiance.",1,0,0,1,"Traditional models wrong, DistilBERT correct"
"I put this second version of ""The Man Who Knew Too Much"" to my Top 10 Hitchcock movies. Together with ""Frenzy"", it's probably the most argued film among the fans of Hitchcock. I consider it far better than, say, ""Rebecca"", which has gained unreasonably much appreciation.<br /><br />The film contains many ingenious scenes (most of them have been mentioned in other reviews), but that's something to be expected from Hitchcock. It takes almost half an hour until things really start to happen, but that time is used for preparing the following happenings, which are full of intriguing suspense.<br /><br />If you can ignore the clumsy rear projections, the only weakness of this film is the main villain, played by Bernard Miles, who is a rather flat and undeveloped character. Luckily, there is a creepy assassin in the form of Reggie Nalder. And Hank, the little boy, isn't as irritating as most kids in old movies.",1,1,0,1,"Logistic Regression wrong, others correct"
"Distributor: GOODTIMES home video <br /><br />Plot: A pretty high school student is marked for unrelenting terror in this suspense filled made for TV movie. Gail Osborne is new in town. She makes friends, has a boyfriend and everything seems to be going her way. That is until she gets an ominous and frightening phone call while babysitting. After more and more phone calls, she is raped. throughout most of the movie, she tries to find proof that the person did rape her.<br /><br />Audio/Video: This 1987 VHS edition from Goodtimes stinks. There are constant lines at the bottom and top of the screen.<br /><br />Extras: No extras from Goodtimes home video.<br /><br />Final thoughts: This suspense filled made for TV movie was made in 1978, so don't expect many deaths (there are none). If you can find this movie with the Worldvision home video logo on the front, then buy it. But the Goodtimes version is pretty crappy. This can be a little boring, but if you are patient, the ending is pretty good.",1,0,0,0,All models wrong
"Alfred Hitchcock's more assured telling of a film he made twenty-one years earlier is infinitely superior to the original. Hitchcock said himself that his first version was the work of an amateur, and although it certainly isn't a bad film, he does appear to be right. That being said, this remake, although definitely better, still isn't among Hitchcock's best work. That's certainly not to say that it isn't good, it's just more than a little overindulgent, and that drags it down. Hitchcock seems all too keen to drag certain elements out, and these are parts of the film that aren't entirely relevant to the plot, which can become annoying. Some of these dragged out sequences, such as the one that sees James Stewart and Doris Day eating in a Moroccan restaurant are good because it helps establish the different culture that our American protagonists have found themselves in, but for every restaurant scene, there's an opera sequence and it's the latter that make the film worse.<br /><br />The plot follows a middle-aged doctor and his wife that go to Morocco for a holiday with their young son. While there, they meet a French man on the bus and another middle-aged couple in a restaurant. However, things go awry when the French man dies from a knife in the back, shortly after whispering something to the doctor. The holiday then turns into a full blown nightmare when the couple's son is kidnapped, which causes them to cut it short and go to London in order to try and find him. The film has a very potent degree of paranoia about it, and it manages to hold this all the way through. In fact, I would even go as far as to say that this is the most paranoid film that Hitchcock ever made. Like most of Hitchcock's films, this one is very thrilling and keeps you on the edge of your seat for almost the entire duration, with only the aforementioned opera sequence standing out as a moment in which the tension is diffused. There is also more than a little humour in the movie, which gives lighthearted relief to the morbid goings on, and actually works quite well.<br /><br />The original version of this story was lent excellent support by the fantastic Peter Lorre. This film doesn't benefit from his presence, unfortunately, but that is made up for by performances from the amazing James Stewart, and Doris Day. James Stewart is a man that is always going to be a contender for the 'greatest actor of all time' crown. His collaborations with Hitchcock all feature mesmerising performances from him, and this one is no different. (Although his best performance remains the one in Mr Smith Goes to Washington). Stewart conveys all the courage, conviction and heartbreak of a man that has lost his child and would do anything to get him back brilliantly. In fact, that's one of the best things about this film; you are really able to feel for the couple's loss throughout and that serves in making it all the more thrilling. Doris Day, on the other hand, is a rather strange casting choice for this movie. She's definitely a good actress, but she's more associated with musicals and seeing her in a thriller is rather odd (even if she does get to flex her vocal chords a little).<br /><br />As I've mentioned; this is not Hitchcock's best film, but there's much to enjoy about it and although I'd recommend many Hitchcock films before recommending this one, I'll definitely give it two thumbs up as well.",1,1,1,0,"Traditional models correct, DistilBERT wrong"
Many funny scenes about the people that you don't normally pay attention to in a movie and what they have to do to get work and what happens once they do. Lou Myers was very funny as Half-Step Wilson. Any guy that has a tight group of friends can relate to many of the non-movie related scenes scattered throughout the movie.,1,0,0,1,"Traditional models wrong, DistilBERT correct"
